symbol,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
VRTX,2017-06-01,125.88840362548828,127.23999786376953,117.7157440780626,150.4063822677653,2.9999999999999982,6.4919875954094515,1.0736447515071972,True,timeout,20,2017
AOS,2017-06-02,47.79126583099365,48.3426628112793,45.94374410670208,53.333831003868376,3.0,3.8658145838301223,1.153760986862274,True,timeout,20,2017
ICE,2017-06-07,56.170875778198244,59.01717758178711,53.329706310380125,64.6943841816526,2.9999999999999973,5.058082909436975,5.067219914512368,True,timeout,20,2017
ABBV,2017-06-07,47.20306812286377,50.57262079588047,46.07988389852487,50.57262079588047,3.0,2.3794729220045387,7.138418766013617,True,target,11,2017
DAL,2017-06-07,46.761476097106936,49.131492614746094,45.18297513722598,51.4969789767498,3.0,3.3756439950761408,5.068309889785081,True,timeout,20,2017
XYL,2017-06-07,47.66074447631836,48.743507406010465,46.938902523190286,48.743507406010465,1.5000000000000049,1.5145419171677827,2.2718128757516816,True,target,7,2017
SHW,2017-06-08,105.5995140838623,108.7347916846787,103.50932901665138,108.7347916846787,1.5000000000000033,1.9793510276486646,2.9690265414730037,True,target,1,2017
CDW,2017-06-12,54.293140983581544,56.20347302636751,53.91107457502435,56.20347302636751,5.0,0.7037102691714443,3.5185513458572215,True,target,5,2017
FIS,2017-06-12,71.46742263793945,74.22075835261319,70.88773592067507,74.22075835261319,4.749696055943979,0.8111202221481058,3.852574520033262,True,target,19,2017
MU,2017-06-12,30.12467119216919,28.159747059183935,28.159747059183935,33.072057391647064,1.4999999999999982,6.522640929259432,-6.522640929259432,False,stop,15,2017
ACN,2017-06-12,109.12120010375976,110.83431815510819,108.45739114709944,110.83431815510819,2.5807395850265102,0.6083226321091817,1.5699222971516837,True,target,1,2017
RMD,2017-06-13,68.03444778442383,70.4954605102539,66.07100014806969,73.92479069348627,3.0,2.8859610098925046,3.6173038893886797,True,timeout,20,2017
MCO,2017-06-16,111.8795093536377,115.8937759399414,109.01266860217572,120.48003160802364,3.0,2.562435934895137,3.5880266274810793,True,timeout,20,2017
A,2017-06-22,56.019821319580075,55.29172866457843,55.29172866457843,57.111960302082544,1.5,1.2997054218506812,-1.2997054218506812,False,stop,2,2017
GLW,2017-06-23,23.557082176208496,24.328516069974995,23.299937544952996,24.328516069974995,3.0,1.0915809917885468,3.27474297536564,True,target,11,2017
MCO,2017-06-23,109.8752865600586,113.69367358064743,108.60162255982283,113.69367358064743,2.9979547352221663,1.1591906061055641,3.4752009665992296,True,target,7,2017
WDC,2017-06-23,62.69999496459961,58.65857433333137,58.65857433333137,74.82425685840433,3.0,6.445647457467935,-6.445647457467935,False,stop,6,2017
ORCL,2017-06-23,44.125693244934084,44.57270431518555,39.718976094249015,50.735768970961686,1.5,9.98673749152029,1.0130403340525034,True,timeout,20,2017
CI,2017-07-05,152.2648731994629,157.4851876944976,150.47427086931427,157.4851876944976,2.915395790086671,1.175978603944318,3.428443071171266,True,target,5,2017
DHI,2017-07-07,32.18262107849121,33.23432540893555,30.594481443420808,36.94703998370241,2.999999999999998,4.93477405459623,3.267926275735288,True,timeout,20,2017
MCD,2017-07-07,126.01855865478515,125.29579162597656,123.10590471452036,134.75652047557952,3.0,2.3112896793588193,-0.5735401487875577,False,timeout,20,2017
VRSN,2017-07-10,93.1745654296875,96.07641657423858,91.23999799998678,96.07641657423858,1.4999999999999962,2.076282750318387,3.114424125477573,True,target,3,2017
FIS,2017-07-11,74.15011024475098,78.47641777738814,72.70800773387192,78.47641777738814,3.0,1.9448420320873878,5.834526096262162,True,target,16,2017
ZBH,2017-07-13,115.41028930664062,119.71571051917445,112.54000849828473,119.71571051917445,1.5,2.487023319670972,3.7305349795064577,True,target,1,2017
TDG,2017-07-14,190.81929748535157,187.43177795410156,183.57652947891063,212.5476015046744,3.0,3.7956161152919754,-1.7752499751813902,False,timeout,20,2017
ZBH,2017-07-14,118.55101959228516,112.42558583824547,112.42558583824547,136.92732085440423,3.0,5.166917817413955,-5.166917817413955,False,stop,10,2017
TECH,2017-07-18,27.68435314178467,27.109305597237384,27.109305597237384,28.546924458605595,1.499999999999997,2.0771572360827597,-2.0771572360827597,False,stop,15,2017
AMZN,2017-07-18,50.710274848937985,49.440053850416746,49.440053850416746,54.5209378445017,3.0,2.5048592268630565,-2.5048592268630565,False,stop,9,2017
EXPD,2017-07-18,52.5739306640625,51.090112391435255,51.090112391435255,57.02538548194424,3.0,2.82234608271648,-2.82234608271648,False,stop,15,2017
SPGI,2017-07-21,140.9210224914551,137.27024255647248,137.27024255647248,151.87336229640292,3.0,2.5906567171012242,-2.5906567171012242,False,stop,12,2017
RCL,2017-07-24,104.72395866394042,103.06610295344643,103.06610295344643,107.21074222968141,1.5000000000000042,1.5830720416271271,-1.5830720416271271,False,stop,3,2017
EL,2017-07-25,87.66752426147461,91.81974384983708,86.28345106535379,91.81974384983708,3.0,1.5787752737179244,4.736325821153773,True,target,11,2017
CDNS,2017-07-26,36.80820030212402,37.34000015258789,34.42965650549539,43.94383169200992,3.0,6.461994276018379,1.4447863413555209,True,timeout,20,2017
CHTR,2017-07-28,366.5574096679687,403.6349135430278,341.8390737512627,403.6349135430278,1.499999999999999,6.7433736884752005,10.115060532712793,True,target,8,2017
ACN,2017-08-01,112.19698883056641,113.15576171875,110.53785983644187,117.17437581294004,3.0,1.4787642800557392,0.8545442245615643,True,timeout,20,2017
RCL,2017-08-03,108.50611335754394,113.75151062011719,103.52431381505883,115.9788126712716,1.5,4.591261624190085,4.834195143723264,True,timeout,20,2017
