symbol,type,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
AKAM,B,2020-09-01,117.8396987915039,113.27543777739379,113.27543777739379,131.53248183383425,3.0,3.8732796000995835,-3.8732796000995835,False,stop,2,2020
AKAM,B,2021-06-25,115.78049697875977,119.30000305175781,114.09029234747834,119.30000305175781,2.082295840314744,1.4598353568921927,3.0398090912010023,True,target,18,2021
ALB,B,2016-12-08,80.03451942443847,79.94754028320312,74.42028394236624,96.87722587065517,3.0,7.014767530868599,-0.10867703318624218,False,timeout,20,2016
ALB,A,2017-01-11,81.61483200073242,82.978271484375,73.51285390139336,105.92076629874961,3.0,9.927090334838104,1.6705780680040412,True,timeout,20,2017
ALB,B,2017-06-08,100.26992546081543,102.25353810634087,98.94751703046514,102.25353810634087,1.5,1.3188485223987512,1.9782727835981266,True,target,1,2017
ALB,A,2017-06-09,101.26148895263671,94.54871585105388,94.54871585105388,121.39980825738519,3.0,6.6291471427233395,-6.6291471427233395,False,stop,4,2017
ALB,A,2017-09-11,108.98985168457031,121.6899185180664,98.86414349993032,139.36697623849028,3.0,9.290505517839406,11.652522356165425,True,timeout,20,2017
ALB,A,2017-10-31,124.30199569702148,120.53136444091797,113.10089277621691,141.10365007822833,1.4999999999999987,9.011201194312742,-3.033443859818789,False,below_sma,16,2017
ALGN,A,2017-09-07,178.19010543823242,186.61000061035156,159.15753968932202,206.738954061598,1.4999999999999993,10.681045225324153,4.725231601054191,True,timeout,20,2017
ALGN,A,2018-04-05,252.79650604248047,245.22999572753906,240.36419860680553,271.989990234375,1.543839250372634,4.917911101819497,-2.993122979978971,False,below_sma,1,2018
ALGN,A,2020-01-06,283.02120483398437,270.7799987792969,259.7905908864413,352.7130466766136,3.0,8.208082486670842,-4.3251904258792155,False,below_sma,12,2020
ALGN,B,2020-01-09,293.57460845947264,277.3986415365508,277.3986415365508,342.1025092282381,3.0,5.51000204268513,-5.51000204268513,False,stop,4,2020
ALLE,A,2016-05-19,59.31699142456055,60.45085906982422,56.26988347876785,63.887653343249596,1.500000000000001,5.136990047224518,1.911539371826916,True,timeout,20,2016
ALLE,B,2017-04-11,66.95140113830567,68.71453369407378,66.52823520411872,68.71453369407378,4.166527627408587,0.6320494074691496,2.633451318107439,True,target,5,2017
ALLE,A,2018-04-04,76.88588104248046,74.41070556640625,73.13935593283072,82.50566870695508,1.500000000000002,4.872838886478694,-3.219284792622258,False,below_sma,14,2018
ALLE,A,2018-11-28,83.0892652130127,77.11157289698755,77.11157289698755,92.0558036870504,1.499999999999999,7.194301575179857,-7.194301575179857,False,stop,12,2018
