symbol,date,entry,exit,sl,tp,risk_pct,pnl_pct,win,reason,days
BK,2024-02-29,52.965135955810545,51.89771270751953,50.36536750777573,56.864788627862765,4.908452326458359,-2.015331838629808,False,below_sma,11
CHRW,2024-09-04,99.3376764678955,105.09339904785156,88.30306811461703,115.8895889978132,11.108180446363367,5.794098256179994,True,timeout,20
CB,2024-03-11,246.78212310791017,243.26535034179688,231.49620929479943,269.71099382757626,6.194092838088876,-1.4250516697984301,False,below_sma,20
CB,2024-07-26,263.13313568115234,271.735595703125,249.25137675474394,283.95577407076496,5.275564740439764,3.2692423930966124,True,timeout,20
C,2024-03-05,52.47384075164795,57.90470047698132,48.8532676014257,57.90470047698132,6.899767766872572,10.349651650308852,True,target,12
C,2025-06-24,78.91938720703125,94.3060302734375,69.08527068240589,108.42173678090732,12.460964121309342,19.496658059498202,True,timeout,20
KO,2024-06-24,60.22254776000977,61.77227783203125,57.60496571746757,68.07529388763635,4.346514951465367,2.573338607654468,True,timeout,20
CTSH,2024-02-07,74.40686279296875,74.92622375488281,69.62195658663062,81.58422210247596,6.430732363561358,0.6980014240879115,True,timeout,20
CL,2024-01-17,76.10352333068847,81.35630048051107,72.60167189747341,81.35630048051107,4.601431418619954,6.902147127929921,True,target,11
GLW,2024-03-04,31.719506492614745,31.204830169677734,28.996723389601375,35.803681147134796,8.583939045985208,-1.6225861617892519,False,timeout,20
CTRA,2026-03-12,31.660199546813963,33.40999984741211,27.04986186858338,38.57570606415984,14.561934997957177,5.526813872448357,True,timeout,20
DRI,2024-11-06,161.80153884887696,163.646240234375,147.65575254610786,183.02021830303062,8.742677234968262,1.140101261472548,True,timeout,20
DAL,2024-02-22,40.65475273132324,44.954986572265625,37.60326498040766,45.23198435769662,7.505857362070502,10.577444338086416,True,timeout,20
DAL,2024-03-07,41.39005840301514,45.013633728027344,38.05728801464331,51.38836956813062,8.052103613676092,8.754699714915692,True,timeout,20
DOV,2024-04-03,168.92195251464844,174.0535125732422,158.12495889235197,185.11744294809313,6.391705436485637,3.0378289986606415,True,timeout,20
ECL,2024-03-15,219.4071336364746,214.6746368408203,200.63003023083004,247.57278874494148,8.558109800001064,-2.156947550983165,False,timeout,20
XOM,2025-11-07,114.27986206054688,115.21207427978516,108.90743861843862,122.33849722370925,4.701111241508046,0.8157274627653848,True,timeout,20
FIS,2024-04-23,68.09694213867188,64.97723388671875,64.293798323918,73.80165786080269,5.584896612551559,-4.581275096905508,False,below_sma,5
FITB,2024-03-04,32.36789108276367,33.4808235168457,30.295195173907288,35.476934946048246,6.40355562108314,3.43838414197669,True,timeout,20
