symbol,date,entry,sl,tp,tp_rr,risk_pct,exit_fixed,reason_fixed,days_fixed,pnl_fixed,win_fixed,exit_tight,reason_tight,days_tight,pnl_tight,win_tight,exit_wide,reason_wide,days_wide,pnl_wide,win_wide
SHW,2023-12-01,276.9,242.64,379.69,3.0,12.37,295.09,timeout,30,6.57,True,290.32,trail,8,4.85,True,298.77,trail,20,7.9,True
SHW,2024-07-23,339.4,290.37,486.46,3.0,14.44,358.04,timeout,30,5.49,True,326.89,trail,1,-3.69,False,331.16,trail,9,-2.43,False
TRGP,2023-09-27,81.94,76.63,89.91,1.5,6.48,77.66,below_sma,4,-5.22,False,80.71,trail,3,-1.5,False,79.0,trail,3,-3.59,False
TRGP,2024-05-31,113.94,106.9,124.48,1.5,6.17,124.48,target,14,9.26,True,111.06,trail,1,-2.53,False,124.48,target,14,9.26,True
TTD,2023-10-06,82.15,75.39,92.29,1.5,8.23,76.77,below_sma,8,-6.55,False,82.24,trail,5,0.12,True,79.46,trail,6,-3.28,False
TTD,2024-05-16,93.19,79.14,135.33,3.0,15.07,97.97,timeout,30,5.13,True,93.06,trail,5,-0.13,False,91.15,trail,16,-2.19,False
TSCO,2023-03-16,44.65,41.73,49.04,1.5,6.56,45.24,timeout,30,1.31,True,43.7,trail,4,-2.13,False,42.88,trail,5,-3.98,False
TSCO,2024-04-19,48.91,46.64,52.32,1.5,4.64,52.32,target,5,6.97,True,48.72,trail,3,-0.4,False,52.32,target,5,6.97,True
UBER,2023-02-01,31.49,25.79,40.04,1.5,18.1,32.73,timeout,30,3.94,True,35.12,trail,5,11.54,True,33.57,trail,8,6.59,True
UBER,2023-05-01,32.74,30.18,36.58,1.5,7.82,36.58,target,1,11.73,True,34.26,trail,1,4.66,True,36.58,target,1,11.73,True
UBER,2023-09-28,46.14,43.91,49.49,1.5,4.83,44.51,below_sma,3,-3.53,False,44.95,trail,3,-2.57,False,43.91,stop,5,-4.83,False
