sym,date,year,gap%,reason,pnl_BT,win_BT,pnl_MarketOpen,win_MarketOpen,pnl_Limit,win_Limit,pnl_Intraday,win_Intraday
NSC,2024-09-09,2024,0.31,stop,-3.17,False,-4.44,False,-4.14,False,-3.0,False
GILD,2024-09-10,2024,-0.37,timeout,6.67,True,6.0,True,5.61,True,7.1,True
DVA,2024-09-12,2024,1.06,timeout,2.16,True,0.08,True,1.14,True,2.3,True
BX,2024-09-13,2024,0.24,timeout,2.25,True,0.98,True,1.22,True,2.3,True
WAB,2024-09-17,2024,0.15,timeout,8.62,True,7.37,True,7.53,True,8.56,True
IBKR,2024-09-17,2024,0.02,target,18.12,True,16.92,True,16.94,True,18.04,True
MET,2024-09-19,2024,-0.11,timeout,6.74,True,5.79,True,5.67,True,6.22,True
MTB,2024-09-19,2024,-0.53,stop,-4.2,False,-4.65,False,-5.16,False,-4.36,False
MDT,2024-09-19,2024,0.01,target,2.94,True,1.9,True,1.91,True,2.36,True
RF,2024-09-19,2024,-0.34,timeout,3.69,True,3.01,True,2.65,True,3.52,True
CAH,2024-09-20,2024,0.32,stop,-1.18,False,-2.48,False,-2.17,False,-1.57,False
PM,2024-09-20,2024,0.12,timeout,1.65,True,0.52,True,0.64,True,1.18,True
LDOS,2024-09-20,2024,0.2,target,3.4,True,2.16,True,2.37,True,2.9,True
AMCR,2024-09-23,2024,0.18,target,2.71,True,1.5,True,,,2.33,True
LDOS,2024-09-23,2024,0.21,timeout,7.34,True,6.04,True,6.26,True,7.03,True
RTX,2024-09-23,2024,-0.12,target,3.47,True,2.56,True,2.44,True,3.12,True
DD,2024-09-24,2024,0.0,timeout,-1.56,False,-2.55,False,-2.55,False,-1.26,False
CAT,2024-09-24,2024,0.28,timeout,2.04,True,0.74,True,1.02,True,1.8,True
RL,2024-09-26,2024,1.67,timeout,1.6,True,-1.06,False,0.59,True,1.51,True
APD,2024-09-26,2024,0.52,stop,-1.82,False,-3.3,False,-2.8,False,-2.24,False
LDOS,2024-09-27,2024,0.18,target,1.97,True,0.78,True,0.95,True,1.38,True
LDOS,2024-09-30,2024,-0.1,timeout,5.18,True,4.23,True,4.13,True,5.1,True
AFL,2024-09-30,2024,-0.03,timeout,-0.81,False,-1.77,False,-1.8,False,-1.32,False
NOC,2024-10-01,2024,0.11,stop,-4.07,False,-5.13,False,-5.03,False,-3.64,False
TSCO,2024-10-01,2024,-0.0,stop,-3.04,False,-4.01,False,-4.01,False,-3.2,False
WTW,2024-10-01,2024,-0.28,stop,-3.42,False,-4.11,False,-4.38,False,-3.49,False
UBER,2024-10-09,2024,-0.28,target,8.44,True,7.66,True,7.36,True,8.66,True
ARES,2024-10-09,2024,0.27,target,5.61,True,4.28,True,4.56,True,6.13,True
TRV,2024-10-17,2024,1.64,timeout,-2.16,False,-4.69,False,-3.13,False,-0.92,False
FOX,2024-10-17,2024,0.44,target,2.75,True,1.28,True,1.72,True,2.29,True
CINF,2024-10-25,2024,0.61,target,4.09,True,2.42,True,,,3.66,True
CINF,2024-10-28,2024,0.08,timeout,11.45,True,10.24,True,10.33,True,11.25,True
T,2024-10-31,2024,-0.04,target,4.41,True,3.41,True,3.36,True,4.47,True
TTWO,2024-11-01,2024,0.27,target,2.86,True,1.56,True,1.83,True,2.67,True
MA,2024-11-01,2024,0.21,target,4.95,True,3.68,True,3.9,True,4.69,True
PH,2024-11-05,2024,4.49,timeout,7.92,True,2.25,True,,,8.25,True
RF,2024-11-06,2024,-0.99,timeout,1.87,True,1.86,True,0.85,True,3.38,True
FITB,2024-11-06,2024,-0.96,timeout,1.98,True,1.94,True,0.96,True,2.51,True
PNC,2024-11-06,2024,-1.02,timeout,2.91,True,2.93,True,1.88,True,3.11,True
ARES,2024-11-06,2024,-0.5,timeout,3.69,True,3.16,True,2.65,True,4.06,True
PH,2024-11-06,2024,-0.08,timeout,-0.86,False,-1.77,False,-1.85,False,0.03,True
GDDY,2024-11-06,2024,0.4,timeout,19.81,True,18.14,True,18.62,True,20.26,True
ORCL,2024-11-07,2024,-0.06,timeout,3.89,True,2.92,True,2.85,True,4.34,True
MSI,2024-11-08,2024,0.28,timeout,-4.13,False,-5.35,False,-5.09,False,-3.31,False
PWR,2024-11-08,2024,1.21,timeout,-1.74,False,-3.89,False,-2.72,False,-1.08,False
IR,2024-11-11,2024,-0.08,stop,-2.44,False,-3.34,False,-3.41,False,-2.77,False
HON,2024-11-11,2024,6.27,timeout,3.24,True,-3.82,False,,,3.59,True
PYPL,2024-11-11,2024,-0.07,timeout,3.12,True,2.16,True,2.09,True,3.81,True
ALL,2024-11-21,2024,-0.31,stop,-3.65,False,-4.32,False,-4.61,False,-3.71,False
TKO,2024-11-21,2024,0.07,timeout,5.92,True,4.78,True,4.86,True,6.3,True
MA,2024-11-25,2024,0.25,timeout,2.76,True,1.48,True,1.73,True,2.21,True
AON,2024-11-25,2024,0.07,stop,-2.8,False,-3.84,False,-3.78,False,-3.37,False
CME,2024-11-26,2024,0.34,timeout,3.58,True,2.2,True,2.55,True,3.57,True
LUV,2024-12-02,2024,0.18,target,6.17,True,4.92,True,5.11,True,6.12,True
T,2024-12-03,2024,-0.29,timeout,-2.86,False,-3.55,False,-3.83,False,-3.16,False
CIEN,2024-12-04,2024,-0.79,target,8.73,True,8.5,True,7.64,True,8.63,True
CMG,2024-12-04,2024,0.03,below_sma,-5.0,False,-5.98,False,-5.95,False,-5.28,False
HPE,2024-12-06,2024,-0.42,stop,-11.92,False,-12.43,False,-12.8,False,-10.42,False
VRSN,2024-12-09,2024,0.16,timeout,6.66,True,5.42,True,5.59,True,7.23,True
AXP,2024-12-10,2024,0.42,stop,-1.92,False,-3.31,False,-2.9,False,-2.15,False
GOOG,2024-12-11,2024,-0.21,timeout,-1.26,False,-2.04,False,-2.25,False,0.31,True
SYF,2024-12-11,2024,-0.01,stop,-2.66,False,-3.61,False,-3.63,False,-2.8,False
ARES,2024-12-11,2024,1.06,stop,-4.6,False,-6.55,False,-5.55,False,-4.45,False
GOOGL,2024-12-11,2024,-0.2,timeout,-1.26,False,-2.05,False,-2.25,False,0.34,True
TRMB,2024-12-12,2024,-0.61,stop,-2.15,False,-2.53,False,-3.12,False,-2.31,False
PWR,2024-12-16,2024,-0.73,stop,-3.25,False,-3.51,False,-4.22,False,-3.53,False
TTD,2024-12-17,2024,-0.27,stop,-3.02,False,-3.73,False,-3.99,False,-2.85,False
V,2024-12-19,2024,-0.42,stop,-1.53,False,-2.11,False,-2.52,False,-2.04,False
NFLX,2024-12-20,2024,0.48,stop,-2.7,False,-4.13,False,-3.67,False,-2.82,False
FFIV,2024-12-20,2024,-0.2,target,5.92,True,5.06,True,4.86,True,5.48,True
V,2024-12-20,2024,-0.65,stop,-2.46,False,-2.81,False,-3.44,False,-2.81,False
JBL,2024-12-20,2024,0.11,target,8.56,True,7.35,True,7.47,True,9.36,True
VRSN,2024-12-20,2024,0.58,target,6.09,True,4.42,True,5.03,True,6.06,True
EXE,2025-01-14,2025,0.85,target,4.81,True,2.9,True,,,4.95,True
GS,2025-01-17,2025,-1.46,timeout,8.47,True,8.98,True,7.39,True,8.09,True
JPM,2025-01-17,2025,0.35,timeout,9.11,True,7.64,True,,,9.08,True
JPM,2025-01-21,2025,-0.05,timeout,7.24,True,6.22,True,6.17,True,6.77,True
AMZN,2025-01-27,2025,-0.48,target,2.76,True,2.22,True,1.73,True,3.76,True
HWM,2025-01-28,2025,-0.02,target,8.47,True,7.41,True,7.38,True,8.19,True
T,2025-02-03,2025,-0.16,target,4.05,True,3.18,True,3.01,True,4.21,True
CTSH,2025-02-06,2025,0.22,timeout,-3.14,False,-4.31,False,-4.1,False,-2.48,False
PGR,2025-02-19,2025,-0.39,timeout,2.39,True,1.76,True,1.36,True,2.62,True
ICE,2025-02-25,2025,-0.37,timeout,3.91,True,3.26,True,2.87,True,3.5,True
DRI,2025-02-25,2025,0.27,stop,-4.05,False,-5.27,False,-5.01,False,-4.34,False
BK,2025-02-28,2025,0.72,stop,-3.13,False,-4.78,False,-4.09,False,-3.14,False
GL,2025-02-28,2025,0.71,timeout,2.86,True,1.11,True,1.84,True,2.82,True
ABBV,2025-02-28,2025,0.45,stop,-3.65,False,-5.05,False,-4.61,False,-3.71,False
MNST,2025-05-15,2025,0.24,timeout,2.19,True,0.93,True,1.17,True,2.25,True
ROL,2025-05-16,2025,-0.33,timeout,0.58,True,-0.09,False,-0.42,False,0.05,True
DE,2025-05-16,2025,-1.03,timeout,-0.33,False,-0.3,False,-1.32,False,0.15,True
RSG,2025-05-27,2025,-0.16,stop,-2.66,False,-3.48,False,-3.64,False,-3.17,False
RCL,2025-06-05,2025,1.33,stop,-4.14,False,-6.34,False,,,-4.24,False
GS,2025-06-18,2025,0.57,target,8.34,True,6.65,True,,,8.17,True
JPM,2025-06-18,2025,0.59,target,7.47,True,5.78,True,6.4,True,7.17,True
HAS,2025-06-23,2025,0.47,timeout,10.98,True,9.36,True,,,11.68,True
CSCO,2025-06-23,2025,0.59,timeout,2.79,True,1.17,True,1.77,True,2.55,True
GD,2025-06-26,2025,-0.54,timeout,9.41,True,8.9,True,8.32,True,9.05,True
SCHW,2025-06-30,2025,-0.35,target,7.62,True,6.92,True,6.54,True,7.12,True
TPR,2025-07-03,2025,0.29,target,20.89,True,19.34,True,,,21.55,True
UBER,2025-07-07,2025,0.22,stop,-5.84,False,-6.99,False,-6.78,False,-5.25,False
GLW,2025-07-14,2025,0.92,target,4.68,True,2.68,True,3.63,True,5.2,True
WFC,2025-07-16,2025,-0.56,target,6.12,True,5.65,True,5.06,True,5.73,True
ARES,2025-07-16,2025,-0.53,target,5.03,True,4.53,True,3.98,True,5.19,True
NSC,2025-07-17,2025,3.05,timeout,6.28,True,2.1,True,,,6.34,True
NEM,2025-07-25,2025,-1.41,timeout,8.72,True,9.18,True,7.63,True,9.19,True
VRSN,2025-07-25,2025,-0.26,stop,-7.38,False,-8.06,False,-8.3,False,-6.66,False
INTU,2025-07-28,2025,0.72,stop,-2.78,False,-4.44,False,-3.75,False,-2.92,False
XYL,2025-07-31,2025,-0.64,timeout,0.86,True,0.5,True,-0.15,False,2.3,True
FFIV,2025-08-04,2025,-0.13,timeout,-3.48,False,-4.32,False,-4.45,False,-2.74,False
ULTA,2025-08-12,2025,0.23,stop,-4.08,False,-5.26,False,-5.04,False,-4.28,False
HUBB,2025-08-13,2025,-1.01,timeout,2.9,True,2.91,True,1.87,True,3.02,True
WYNN,2025-08-25,2025,-0.38,timeout,8.82,True,8.14,True,7.73,True,9.01,True
RTX,2025-08-26,2025,0.25,stop,-1.99,False,-3.21,False,-2.97,False,-2.11,False
PNR,2025-08-26,2025,-0.51,timeout,0.85,True,0.36,True,-0.16,False,0.41,True
ULTA,2025-08-27,2025,0.11,stop,-2.68,False,-3.75,False,-3.65,False,-3.02,False
NTAP,2025-08-28,2025,-0.65,timeout,3.3,True,2.94,True,2.27,True,6.17,True
WDC,2025-09-03,2025,0.57,target,30.03,True,28.0,True,,,30.17,True
